,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
226,Stetson University,-81.301604,29.036295,"Private not-for-profit, 4-year or above",Florida,Doctor's degree -  professional practice,4044,3828,216
227,Southeastern University,-81.918997,28.031864,"Private not-for-profit, 4-year or above",Florida,Master's degree,3434,2634,800
228,The University of Tampa,-82.465582,27.947225,"Private not-for-profit, 4-year or above",Florida,Master's degree,7260,6450,810
229,Warner University,-81.599972,27.825751,"Private not-for-profit, 4-year or above",Florida,Master's degree,1162,975,187
230,Webber International University,-81.532325,27.838798,"Private not-for-profit, 4-year or above",Florida,Master's degree,715,671,44
231,The University of West Florida,-87.218125,30.542855,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship,12588,8183,4405
232,Agnes Scott College,-84.29563,33.769996,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,915,897,18
233,Albany State University,-84.14306,31.571395,"Public, 4-year or above",Georgia,Master's degree,4260,3241,1019
234,Armstrong Atlantic State University,-81.160409,31.978109,"Public, 4-year or above",Georgia,Doctor's degree -  professional practice,7101,4987,2114
235,Point University,-85.184285,32.879467,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,1439,1291,148
236,Clark Atlanta University,-84.412818,33.748772,"Private not-for-profit, 4-year or above",Georgia,Doctor's degree - research/scholarship,3458,3044,414
237,Berry College,-85.189077,34.289254,"Private not-for-profit, 4-year or above",Georgia,Master's degree,2223,2122,101
238,Brenau University,-83.821513,34.303117,"Private not-for-profit, 4-year or above",Georgia,Doctor's degree -  professional practice,2854,1528,1326
239,Brewton-Parker College,-82.586136,32.185718,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,693,503,190
240,Clayton  State University,-84.328174,33.594079,"Public, 4-year or above",Georgia,Master's degree,7261,4092,3169
241,Columbus State University,-84.940796,32.501556,"Public, 4-year or above",Georgia,Doctor's degree - research/scholarship,8156,5382,2774
242,Covenant College,-85.37496,34.963327,"Private not-for-profit, 4-year or above",Georgia,Master's degree,1173,1102,71
243,Dalton State College,-85.00289,34.77496,"Public, 4-year or above",Georgia,Bachelor's degree,5015,3044,1971
244,Emmanuel College,-83.146825,34.282617,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,806,702,104
245,Emory University,-84.325782,33.798836,"Private not-for-profit, 4-year or above",Georgia,Doctor's degree - research/scholarship and professional practice,14513,13181,1332
246,Fort Valley State University,-83.895548,32.538163,"Public, 4-year or above",Georgia,Master's degree,3180,2695,485
247,Georgia Institute of Technology-Main Campus,-84.396019,33.773732,"Public, 4-year or above",Georgia,Doctor's degree - research/scholarship,21471,18743,2728
248,Georgia Southwestern State University,-84.217755,32.058198,"Public, 4-year or above",Georgia,Master's degree,2806,1946,860
249,Georgia College and State University,-83.231962,33.082787,"Public, 4-year or above",Georgia,Doctor's degree -  professional practice,6551,5600,951
250,Georgia Southern University,-81.782201,32.427756,"Public, 4-year or above",Georgia,Doctor's degree - research/scholarship,20517,16767,3750
251,Georgia State University,-84.38667,33.7527,"Public, 4-year or above",Georgia,Doctor's degree - research/scholarship and professional practice,32165,23677,8488
252,University of Georgia,-83.374049,33.956428,"Public, 4-year or above",Georgia,Doctor's degree - research/scholarship and professional practice,34536,31364,3172
253,Kennesaw State University,-84.58083,34.03629,"Public, 4-year or above",Georgia,Doctor's degree - research/scholarship,24629,17690,6939
254,LaGrange College,-85.041394,33.039713,"Private not-for-profit, 4-year or above",Georgia,Master's degree,940,858,82
255,Life University,-84.514156,33.932104,"Private not-for-profit, 4-year or above",Georgia,Doctor's degree -  professional practice,2730,2342,388
256,Mercer University,-83.651042,32.829731,"Private not-for-profit, 4-year or above",Georgia,Doctor's degree - research/scholarship and professional practice,8351,6435,1916
257,Morehouse College,-84.415156,33.74793,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,2170,2006,164
258,University of North Georgia,-83.985934,34.530254,"Public, 4-year or above",Georgia,Doctor's degree -  professional practice,,,
259,Oglethorpe University,-84.334756,33.875939,"Private not-for-profit, 4-year or above",Georgia,Master's degree,1100,996,104
260,Paine College,-81.991199,33.469259,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,924,838,86
261,Piedmont College,-83.543216,34.56663,"Private not-for-profit, 4-year or above",Georgia,Doctor's degree - research/scholarship,2368,1501,867
262,Reinhardt University,-84.554657,34.318874,"Private not-for-profit, 4-year or above",Georgia,Master's degree,1309,1225,84
263,Savannah State University,-81.063377,32.024781,"Public, 4-year or above",Georgia,Master's degree,4772,4221,551
264,Shorter University,-85.196213,34.258192,"Private not-for-profit, 4-year or above",Georgia,Master's degree,1629,1428,201
265,Spelman College,-84.410118,33.74519,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,2129,2061,68
266,Southern Polytechnic State University,-84.519276,33.938992,"Public, 4-year or above",Georgia,Master's degree,6549,4362,2187
267,Thomas University,-83.981478,30.813954,"Private not-for-profit, 4-year or above",Georgia,Master's degree,1090,588,502
268,Toccoa Falls College,-83.353462,34.59554,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,870,777,93
269,Truett-McConnell College,-83.745972,34.594437,"Private not-for-profit, 4-year or above",Georgia,Bachelor's degree,1606,691,915
270,Valdosta State University,-83.289925,30.849236,"Public, 4-year or above",Georgia,Doctor's degree - research/scholarship and professional practice,11885,8964,2921
271,Wesleyan College,-83.717186,32.874648,"Private not-for-profit, 4-year or above",Georgia,Master's degree,700,517,183
272,University of West Georgia,-85.099007,33.574421,"Public, 4-year or above",Georgia,Doctor's degree - research/scholarship,11929,9067,2862
273,Chaminade University of Honolulu,-157.807642,21.290274,"Private not-for-profit, 4-year or above",Hawaii,Master's degree,2752,2124,628
274,University of Hawaii at Hilo,-155.081329,19.701854,"Public, 4-year or above",Hawaii,Doctor's degree - research/scholarship and professional practice,4043,3220,823
275,University of Hawaii at Manoa,-157.816607,21.292648,"Public, 4-year or above",Hawaii,Doctor's degree - research/scholarship and professional practice,20006,14803,5203
276,Hawaii Pacific University,-157.859411,21.31028,"Private not-for-profit, 4-year or above",Hawaii,Master's degree,6736,4359,2377
277,University of Hawaii-West Oahu,-158.062444,21.353359,"Public, 4-year or above",Hawaii,Bachelor's degree,2361,1043,1318
278,Boise State University,-116.205789,43.604403,"Public, 4-year or above",Idaho,Doctor's degree - research/scholarship,21981,13264,8717
279,Idaho State University,-112.429084,42.864108,"Public, 4-year or above",Idaho,Doctor's degree - research/scholarship and professional practice,13326,8231,5095
280,University of Idaho,-117.024296,46.726894,"Public, 4-year or above",Idaho,Doctor's degree - research/scholarship and professional practice,12024,9387,2637
281,The College of Idaho,-116.676838,43.652653,"Private not-for-profit, 4-year or above",Idaho,Master's degree,1122,1070,52
282,Lewis-Clark State College,-117.026371,46.410034,"Public, 4-year or above",Idaho,Bachelor's degree,4304,2443,1861
283,Northwest Nazarene University,-116.564792,43.563181,"Private not-for-profit, 4-year or above",Idaho,Doctor's degree - other,2246,1692,554
284,Brigham Young University-Idaho,-111.784728,43.815384,"Private not-for-profit, 4-year or above",Idaho,Bachelor's degree,27692,14376,13316
285,Augustana College,-90.552402,41.500326,"Private not-for-profit, 4-year or above",Illinois,Bachelor's degree,2524,2509,15
286,Aurora University,-88.349469,41.754465,"Private not-for-profit, 4-year or above",Illinois,Doctor's degree - research/scholarship,4946,3342,1604
287,Blackburn College,-89.872248,39.288298,"Private not-for-profit, 4-year or above",Illinois,Bachelor's degree,543,523,20
288,Bradley University,-89.61462,40.697605,"Private not-for-profit, 4-year or above",Illinois,Doctor's degree -  professional practice,5430,4912,518
289,Chicago State University,-87.610344,41.718813,"Public, 4-year or above",Illinois,Doctor's degree - research/scholarship and professional practice,5701,3590,2111
290,University of Chicago,-87.601196,41.78917,"Private not-for-profit, 4-year or above",Illinois,Doctor's degree - research/scholarship and professional practice,15048,12848,2200
291,Columbia College-Chicago,-87.624554,41.873589,"Private not-for-profit, 4-year or above",Illinois,Master's degree,10142,9066,1076
292,Concordia University-Chicago,-87.810009,41.898574,"Private not-for-profit, 4-year or above",Illinois,Doctor's degree - research/scholarship,5286,1684,3602
293,DePaul University,-87.654116,41.923332,"Private not-for-profit, 4-year or above",Illinois,Doctor's degree - research/scholarship and professional practice,24414,18706,5708
294,East-West University,-87.624793,41.871309,"Private not-for-profit, 4-year or above",Illinois,Bachelor's degree,684,669,15
295,Eastern Illinois University,-88.175505,39.483017,"Public, 4-year or above",Illinois,Master's degree,9775,8013,1762
296,Elmhurst College,-87.946096,41.899215,"Private not-for-profit, 4-year or above",Illinois,Master's degree,3210,2782,428
297,Eureka College,-89.268952,40.713042,"Private not-for-profit, 4-year or above",Illinois,Bachelor's degree,692,644,48
298,Governors State University,-87.717012,41.448603,"Public, 4-year or above",Illinois,Doctor's degree - research/scholarship and professional practice,5568,2009,3559
299,Greenville College,-89.409178,38.894751,"Private not-for-profit, 4-year or above",Illinois,Master's degree,1368,1129,239
300,University of Illinois at Chicago,-87.651145,41.872651,"Public, 4-year or above",Illinois,Doctor's degree - research/scholarship and professional practice,28038,23239,4799
301,Benedictine University,-88.095948,41.776395,"Private not-for-profit, 4-year or above",Illinois,Doctor's degree - research/scholarship,6318,3588,2730
302,University of Illinois at Urbana-Champaign,-88.230309,40.108864,"Public, 4-year or above",Illinois,Doctor's degree - research/scholarship and professional practice,44942,41118,3824
303,Illinois Wesleyan University,-88.990622,40.491522,"Private not-for-profit, 4-year or above",Illinois,Bachelor's degree,2009,2001,8
304,Illinois College,-90.246256,39.730827,"Private not-for-profit, 4-year or above",Illinois,Master's degree,1028,981,47
305,Illinois Institute of Technology,-87.628346,41.833801,"Private not-for-profit, 4-year or above",Illinois,Doctor's degree - research/scholarship and professional practice,7850,6539,1311
