,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
801,CUNY City College,-73.95055,40.819794,"Public, 4-year or above",New York,Doctor's degree - research/scholarship,15331,9721,5610
802,CUNY Graduate School and University Center,-73.983575,40.748503,"Public, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,6736,4454,2282
803,CUNY Hunter College,-73.964795,40.768669,"Public, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,23019,13087,9932
804,CUNY John Jay College of Criminal Justice,-73.988381,40.770675,"Public, 4-year or above",New York,Master's degree,15010,10764,4246
805,CUNY Lehman College,-73.894627,40.873928,"Public, 4-year or above",New York,Master's degree,12085,5916,6169
806,CUNY Medgar Evers College,-73.957076,40.666256,"Public, 4-year or above",New York,Bachelor's degree,6477,4267,2210
807,CUNY New York City College of Technology,-73.987856,40.695483,"Public, 4-year or above",New York,Bachelor's degree,16860,10318,6542
808,CUNY Queens College,-73.815387,40.737771,"Public, 4-year or above",New York,Master's degree,18974,11249,7725
809,CUNY York College,-73.794586,40.702661,"Public, 4-year or above",New York,Master's degree,8307,5199,3108
810,D'Youville College,-78.890369,42.902263,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,3150,2401,749
811,Daemen College,-78.789025,42.965024,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,2871,2231,640
812,Dominican College of Blauvelt,-73.95234,41.054111,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,1998,1441,557
813,Dowling College,-73.164816,40.746051,"Private not-for-profit, 4-year or above",New York,Doctor's degree - other,3198,1737,1461
814,Elmira College,-76.811333,42.092724,"Private not-for-profit, 4-year or above",New York,Master's degree,1542,1200,342
815,Fashion Institute of Technology,-73.994781,40.74731,"Public, 4-year or above",New York,Master's degree,9755,7377,2378
816,Fordham University,-73.889578,40.861183,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,15097,12015,3082
817,Hamilton College,-75.408853,43.047809,"Private not-for-profit, 4-year or above",New York,Bachelor's degree,1926,1905,21
818,Hartwick College,-75.073609,42.454023,"Private not-for-profit, 4-year or above",New York,Bachelor's degree,1618,1579,39
819,Hilbert College,-78.82029,42.75505,"Private not-for-profit, 4-year or above",New York,Master's degree,1070,928,142
820,Hobart William Smith Colleges,-76.984813,42.858562,"Private not-for-profit, 4-year or above",New York,Master's degree,2372,2328,44
821,Hofstra University,-73.60078,40.715959,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,10928,9383,1545
822,Houghton College,-78.156882,42.426841,"Private not-for-profit, 4-year or above",New York,Master's degree,1100,1032,68
823,Iona College,-73.785635,40.927107,"Private not-for-profit, 4-year or above",New York,Master's degree,4241,3389,852
824,Ithaca College,-76.495057,42.42264,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,6723,6562,161
825,Keuka College,-77.090518,42.61541,"Private not-for-profit, 4-year or above",New York,Master's degree,2036,1658,378
826,Le Moyne College,-76.088449,43.047316,"Private not-for-profit, 4-year or above",New York,Master's degree,3319,2538,781
827,LIU Brooklyn,-73.980872,40.690134,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,8483,6261,2222
828,LIU Post,-73.593279,40.820043,"Private not-for-profit, 4-year or above",New York,Doctor's degree - other,10599,4824,5775
829,LIU Brentwood,-73.287113,40.803845,"Private not-for-profit, 4-year or above",New York,Master's degree,270,130,140
830,Manhattan College,-73.901893,40.889756,"Private not-for-profit, 4-year or above",New York,Master's degree,3883,3392,491
831,Manhattanville College,-73.718316,41.031054,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,2750,1900,850
832,Marist College,-73.934342,41.721955,"Private not-for-profit, 4-year or above",New York,Master's degree,6365,5121,1244
833,Marymount Manhattan College,-73.959676,40.769108,"Private not-for-profit, 4-year or above",New York,Bachelor's degree,1833,1593,240
834,Medaille College,-78.856569,42.92895,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,2390,2185,205
835,Mercy College,-73.874571,41.021436,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,11648,7017,4631
836,Molloy College,-73.626278,40.68597,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,4455,2903,1552
837,Mount Saint Mary College,-74.012906,41.511212,"Private not-for-profit, 4-year or above",New York,Master's degree,2556,1811,745
838,College of Mount Saint Vincent,-73.907019,40.912814,"Private not-for-profit, 4-year or above",New York,Master's degree,1938,1539,399
839,Nazareth College,-77.514417,43.102406,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,2823,2293,530
840,The College of New Rochelle,-73.781104,40.899427,"Private not-for-profit, 4-year or above",New York,Master's degree,3966,2865,1101
841,The New School,-73.994636,40.735275,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,10301,8415,1886
842,New York University,-73.997264,40.729452,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,44599,35096,9503
843,Niagara University,-79.046229,43.132713,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,4056,3342,714
844,New York Institute of Technology,-73.608885,40.814402,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,7545,6028,1517
845,Nyack College,-73.931106,41.086425,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,3082,2033,1049
846,Pace University-New York,-74.004719,40.711014,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,12624,9148,3476
847,Paul Smiths College of Arts and Science,-74.253006,44.437366,"Private not-for-profit, 4-year or above",New York,Bachelor's degree,981,969,12
848,Polytechnic Institute of New York University,-73.986774,40.694371,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,4890,4008,882
849,Rensselaer Polytechnic Institute,-73.678768,42.728983,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,6714,6565,149
850,Roberts Wesleyan College,-77.798964,43.126747,"Private not-for-profit, 4-year or above",New York,Master's degree,1735,1585,150
851,Rochester Institute of Technology,-77.67521,43.090325,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,16583,14119,2464
852,University of Rochester,-77.631042,43.126437,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,11020,9284,1736
853,The Sage Colleges,-73.693711,42.72821,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,2832,1852,980
854,St Bonaventure University,-78.47586,42.07863,"Private not-for-profit, 4-year or above",New York,Master's degree,2244,2037,207
855,St Francis College,-73.991653,40.693076,"Private not-for-profit, 4-year or above",New York,Master's degree,2819,2481,338
856,St Lawrence University,-75.161343,44.589879,"Private not-for-profit, 4-year or above",New York,Master's degree,2506,2410,96
857,The College of Saint Rose,-73.78611,42.664664,"Private not-for-profit, 4-year or above",New York,Master's degree,4542,3303,1239
858,St Thomas Aquinas College,-73.934182,41.041126,"Private not-for-profit, 4-year or above",New York,Master's degree,1972,1307,665
859,Sarah Lawrence College,-73.84381,40.934147,"Private not-for-profit, 4-year or above",New York,Master's degree,1782,1701,81
860,Siena College,-73.75153,42.718586,"Private not-for-profit, 4-year or above",New York,Master's degree,3207,3059,148
861,Skidmore College,-73.785108,43.092696,"Private not-for-profit, 4-year or above",New York,Master's degree,2702,2647,55
862,Saint Joseph's College-New York,-73.968037,40.690485,"Private not-for-profit, 4-year or above",New York,Master's degree,5354,3699,1655
863,Saint John Fisher College,-77.516979,43.117064,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,3987,3350,637
864,St John's University-New York,-73.795301,40.721979,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,20729,13719,7010
865,SUNY College of Technology at Alfred,-77.791057,42.258745,"Public, 4-year or above",New York,Bachelor's degree,3555,3222,333
866,SUNY College of Technology at Canton,-75.185005,44.607346,"Public, 4-year or above",New York,Bachelor's degree,3512,2938,574
867,SUNY College of Technology at Delhi,-74.924225,42.270129,"Public, 4-year or above",New York,Bachelor's degree,3308,2590,718
868,SUNY College of Agriculture and Technology at Cobleskill,-74.504897,42.661622,"Public, 4-year or above",New York,Bachelor's degree,2453,2267,186
869,Farmingdale State College,-73.426371,40.75408,"Public, 4-year or above",New York,Bachelor's degree,8162,6074,2088
870,Morrisville State College,-75.604369,42.891392,"Public, 4-year or above",New York,Bachelor's degree,3028,2668,360
871,SUNY at Albany,-73.825014,42.686917,"Public, 4-year or above",New York,Doctor's degree - research/scholarship,17338,14398,2940
872,SUNY at Binghamton,-75.971143,42.088049,"Public, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,16077,14383,1694
873,University at Buffalo,-78.790103,43.001433,"Public, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,29850,24816,5034
874,Stony Brook University,-73.123595,40.913138,"Public, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,24143,20044,4099
875,SUNY College of Environmental Science and Forestry,-76.139236,43.034355,"Public, 4-year or above",New York,Doctor's degree - research/scholarship,2229,1966,263
